id_aluno;nome;data_nascimento;cpf;email;telefone;endereco
1;Aluno 1;2008-07-08;72891129320;aluno1@email.com;948028982;Endereço 1
2;Aluno 2;2007-05-02;64109229242;aluno2@email.com;735232047;Endereço 2
3;Aluno 3;1992-12-14;13378836582;aluno3@email.com;561443652;Endereço 3
4;Aluno 4;1995-08-23;57793932758;aluno4@email.com;741922995;Endereço 4
5;Aluno 5;2000-01-06;54548126167;aluno5@email.com;161335161;Endereço 5
6;Aluno 6;1995-05-16;71589617940;aluno6@email.com;757717898;Endereço 6
7;Aluno 7;2008-04-14;60403386403;aluno7@email.com;445747970;Endereço 7
8;Aluno 8;1996-06-21;97911799267;aluno8@email.com;181308625;Endereço 8
9;Aluno 9;2003-04-30;60768209973;aluno9@email.com;743342302;Endereço 9
10;Aluno 10;2006-12-03;36424505467;aluno10@email.com;469967226;Endereço 10
11;Aluno 11;2002-05-25;30431816719;aluno11@email.com;281866283;Endereço 11
12;Aluno 12;1997-04-24;58770966257;aluno12@email.com;811658531;Endereço 12
13;Aluno 13;1997-07-29;86815794032;aluno13@email.com;936261723;Endereço 13
14;Aluno 14;2006-06-01;80735220333;aluno14@email.com;459008250;Endereço 14
15;Aluno 15;2007-07-24;33027310581;aluno15@email.com;302872850;Endereço 15
16;Aluno 16;2003-05-13;69727966845;aluno16@email.com;915753186;Endereço 16
17;Aluno 17;1998-05-27;44034090575;aluno17@email.com;366641010;Endereço 17
18;Aluno 18;1999-12-14;72467940680;aluno18@email.com;637079055;Endereço 18
19;Aluno 19;2003-07-05;47523138651;aluno19@email.com;247017838;Endereço 19
20;Aluno 20;2003-09-04;41397172931;aluno20@email.com;705327752;Endereço 20
21;Aluno 21;2008-09-25;55292122740;aluno21@email.com;390431152;Endereço 21
22;Aluno 22;2000-03-10;74363627692;aluno22@email.com;961065591;Endereço 22
23;Aluno 23;1994-01-09;49710309640;aluno23@email.com;494549387;Endereço 23
24;Aluno 24;2004-03-24;88413808298;aluno24@email.com;264096743;Endereço 24
25;Aluno 25;2007-02-10;92757972182;aluno25@email.com;151307962;Endereço 25
26;Aluno 26;2006-12-02;25563277767;aluno26@email.com;276710422;Endereço 26
27;Aluno 27;1999-12-16;61904950428;aluno27@email.com;674531445;Endereço 27
28;Aluno 28;1996-12-27;82413136431;aluno28@email.com;922275979;Endereço 28
29;Aluno 29;2004-08-30;58038188264;aluno29@email.com;669469985;Endereço 29
30;Aluno 30;2000-03-28;75213093330;aluno30@email.com;234930078;Endereço 30
31;Aluno 31;1999-02-07;47268689457;aluno31@email.com;821545259;Endereço 31
32;Aluno 32;1996-02-24;54928990822;aluno32@email.com;543341570;Endereço 32
33;Aluno 33;1997-12-15;10384791894;aluno33@email.com;701252074;Endereço 33
34;Aluno 34;1999-12-11;30504804158;aluno34@email.com;128288752;Endereço 34
35;Aluno 35;2001-10-16;78228971840;aluno35@email.com;277081499;Endereço 35
36;Aluno 36;2007-10-12;48203049341;aluno36@email.com;834191351;Endereço 36
37;Aluno 37;2005-02-12;74333619776;aluno37@email.com;898576545;Endereço 37
38;Aluno 38;1996-06-04;55310853282;aluno38@email.com;918234770;Endereço 38
39;Aluno 39;2007-04-07;26807232320;aluno39@email.com;885878869;Endereço 39
40;Aluno 40;2001-03-12;71902438457;aluno40@email.com;987322205;Endereço 40
41;Aluno 41;2005-11-19;91117198312;aluno41@email.com;437811781;Endereço 41
42;Aluno 42;1995-08-31;56802119541;aluno42@email.com;133012409;Endereço 42
43;Aluno 43;1999-01-04;88779087949;aluno43@email.com;944146161;Endereço 43
44;Aluno 44;1992-11-06;22659587515;aluno44@email.com;647120927;Endereço 44
45;Aluno 45;2004-06-04;89803821401;aluno45@email.com;260038694;Endereço 45
46;Aluno 46;2000-10-02;32483296237;aluno46@email.com;640365974;Endereço 46
47;Aluno 47;2003-02-16;51787805378;aluno47@email.com;137263096;Endereço 47
48;Aluno 48;1998-11-15;87026949697;aluno48@email.com;644482198;Endereço 48
49;Aluno 49;2005-01-24;20310469809;aluno49@email.com;789450448;Endereço 49
50;Aluno 50;1995-08-21;30041613130;aluno50@email.com;347196699;Endereço 50
51;Aluno 51;2005-06-11;15534350036;aluno51@email.com;544907303;Endereço 51
52;Aluno 52;2001-10-07;26363081406;aluno52@email.com;248198355;Endereço 52
53;Aluno 53;1999-07-06;21123597344;aluno53@email.com;105983968;Endereço 53
54;Aluno 54;1993-03-20;48292267458;aluno54@email.com;940352765;Endereço 54
55;Aluno 55;1999-06-22;88473503563;aluno55@email.com;816437045;Endereço 55
56;Aluno 56;2001-06-15;66608443235;aluno56@email.com;707235083;Endereço 56
57;Aluno 57;1995-03-01;46935959348;aluno57@email.com;686239398;Endereço 57
58;Aluno 58;2000-11-17;47138077502;aluno58@email.com;169836330;Endereço 58
59;Aluno 59;2000-10-14;83053581004;aluno59@email.com;662439594;Endereço 59
60;Aluno 60;1999-02-22;69396062942;aluno60@email.com;465111881;Endereço 60
61;Aluno 61;1995-06-09;65149673273;aluno61@email.com;529568287;Endereço 61
62;Aluno 62;1993-03-09;65076554181;aluno62@email.com;712621193;Endereço 62
63;Aluno 63;1997-12-08;31739573324;aluno63@email.com;882386466;Endereço 63
64;Aluno 64;1994-06-02;78059401360;aluno64@email.com;304796358;Endereço 64
65;Aluno 65;1992-07-25;32715937385;aluno65@email.com;975277913;Endereço 65
66;Aluno 66;1996-06-26;35579182699;aluno66@email.com;743155728;Endereço 66
67;Aluno 67;1994-05-26;24742024028;aluno67@email.com;462137909;Endereço 67
68;Aluno 68;2000-03-14;49847965360;aluno68@email.com;316934049;Endereço 68
69;Aluno 69;2003-02-03;79504598027;aluno69@email.com;698063159;Endereço 69
70;Aluno 70;1992-06-22;11782503845;aluno70@email.com;331245484;Endereço 70
71;Aluno 71;2002-06-18;71387202022;aluno71@email.com;277978174;Endereço 71
72;Aluno 72;2002-12-12;73455438899;aluno72@email.com;381572218;Endereço 72
73;Aluno 73;2007-06-02;69600123983;aluno73@email.com;465267095;Endereço 73
74;Aluno 74;1999-11-23;66404997644;aluno74@email.com;580137245;Endereço 74
75;Aluno 75;2003-11-20;31360895232;aluno75@email.com;187559401;Endereço 75
76;Aluno 76;2000-09-16;56100168419;aluno76@email.com;214276166;Endereço 76
77;Aluno 77;2008-05-21;13226816945;aluno77@email.com;373829991;Endereço 77
78;Aluno 78;2008-10-01;74480663778;aluno78@email.com;730663768;Endereço 78
79;Aluno 79;1998-05-25;24371550027;aluno79@email.com;892406832;Endereço 79
80;Aluno 80;2008-05-28;26533144022;aluno80@email.com;804868912;Endereço 80
81;Aluno 81;2007-11-11;48893335236;aluno81@email.com;193731335;Endereço 81
82;Aluno 82;2006-09-15;53369871077;aluno82@email.com;132158723;Endereço 82
83;Aluno 83;2005-09-02;95188606951;aluno83@email.com;590141638;Endereço 83
84;Aluno 84;1998-12-13;74392150146;aluno84@email.com;459782981;Endereço 84
